datetime,date,time,clicks
06-02-2020 00:00:00,06-02-2020,00:00:00,
06-02-2020 01:00:00,06-02-2020,01:00:00,
06-02-2020 02:00:00,06-02-2020,02:00:00,5008.0
06-02-2020 03:00:00,06-02-2020,03:00:00,5473.0
06-02-2020 04:00:00,06-02-2020,04:00:00,7083.0
06-02-2020 05:00:00,06-02-2020,05:00:00,10732.0
06-02-2020 06:00:00,06-02-2020,06:00:00,15557.0
06-02-2020 07:00:00,06-02-2020,07:00:00,21316.0
06-02-2020 08:00:00,06-02-2020,08:00:00,25830.0
06-02-2020 09:00:00,06-02-2020,09:00:00,29150.0
06-02-2020 10:00:00,06-02-2020,10:00:00,31078.0
06-02-2020 11:00:00,06-02-2020,11:00:00,31917.0
06-02-2020 12:00:00,06-02-2020,12:00:00,32212.0
06-02-2020 13:00:00,06-02-2020,13:00:00,31603.0
06-02-2020 14:00:00,06-02-2020,14:00:00,30958.0
06-02-2020 15:00:00,06-02-2020,15:00:00,29339.0
06-02-2020 16:00:00,06-02-2020,16:00:00,26990.0
06-02-2020 17:00:00,06-02-2020,17:00:00,24092.0
06-02-2020 18:00:00,06-02-2020,18:00:00,21550.0
06-02-2020 19:00:00,06-02-2020,19:00:00,19902.0
06-02-2020 20:00:00,06-02-2020,20:00:00,18512.0
06-02-2020 21:00:00,06-02-2020,21:00:00,16120.0
06-02-2020 22:00:00,06-02-2020,22:00:00,13137.0
06-02-2020 23:00:00,06-02-2020,23:00:00,9899.0
06-03-2020 00:00:00,06-03-2020,00:00:00,7703.0
06-03-2020 01:00:00,06-03-2020,01:00:00,6119.0
06-03-2020 02:00:00,06-03-2020,02:00:00,5370.0
06-03-2020 03:00:00,06-03-2020,03:00:00,5961.0
06-03-2020 04:00:00,06-03-2020,04:00:00,7853.0
06-03-2020 05:00:00,06-03-2020,05:00:00,11946.0
06-03-2020 06:00:00,06-03-2020,06:00:00,17704.0
06-03-2020 07:00:00,06-03-2020,07:00:00,23759.0
06-03-2020 08:00:00,06-03-2020,08:00:00,28452.0
06-03-2020 09:00:00,06-03-2020,09:00:00,30513.0
06-03-2020 10:00:00,06-03-2020,10:00:00,31490.0
06-03-2020 11:00:00,06-03-2020,11:00:00,31751.0
06-03-2020 12:00:00,06-03-2020,12:00:00,31743.0
06-03-2020 13:00:00,06-03-2020,13:00:00,31572.0
06-03-2020 14:00:00,06-03-2020,14:00:00,30310.0
06-03-2020 15:00:00,06-03-2020,15:00:00,28723.0
06-03-2020 16:00:00,06-03-2020,16:00:00,25932.0
06-03-2020 17:00:00,06-03-2020,17:00:00,23081.0
06-03-2020 18:00:00,06-03-2020,18:00:00,20878.0
06-03-2020 19:00:00,06-03-2020,19:00:00,19145.0
06-03-2020 20:00:00,06-03-2020,20:00:00,18044.0
06-03-2020 21:00:00,06-03-2020,21:00:00,15915.0
06-03-2020 22:00:00,06-03-2020,22:00:00,13337.0
06-03-2020 23:00:00,06-03-2020,23:00:00,10283.0
06-04-2020 00:00:00,06-04-2020,00:00:00,8047.0
06-04-2020 01:00:00,06-04-2020,01:00:00,6451.0
06-04-2020 02:00:00,06-04-2020,02:00:00,5714.0
06-04-2020 03:00:00,06-04-2020,03:00:00,6152.0
06-04-2020 04:00:00,06-04-2020,04:00:00,8055.0
06-04-2020 05:00:00,06-04-2020,05:00:00,11850.0
06-04-2020 06:00:00,06-04-2020,06:00:00,17321.0
06-04-2020 07:00:00,06-04-2020,07:00:00,23230.0
06-04-2020 08:00:00,06-04-2020,08:00:00,27739.0
06-04-2020 09:00:00,06-04-2020,09:00:00,30072.0
06-04-2020 10:00:00,06-04-2020,10:00:00,30772.0
06-04-2020 11:00:00,06-04-2020,11:00:00,31058.0
06-04-2020 12:00:00,06-04-2020,12:00:00,30801.0
06-04-2020 13:00:00,06-04-2020,13:00:00,30929.0
06-04-2020 14:00:00,06-04-2020,14:00:00,30470.0
06-04-2020 15:00:00,06-04-2020,15:00:00,29920.0
06-04-2020 16:00:00,06-04-2020,16:00:00,27618.0
06-04-2020 17:00:00,06-04-2020,17:00:00,24757.0
06-04-2020 18:00:00,06-04-2020,18:00:00,22055.0
06-04-2020 19:00:00,06-04-2020,19:00:00,20562.0
06-04-2020 20:00:00,06-04-2020,20:00:00,18994.0
06-04-2020 21:00:00,06-04-2020,21:00:00,16514.0
06-04-2020 22:00:00,06-04-2020,22:00:00,13187.0
06-04-2020 23:00:00,06-04-2020,23:00:00,10186.0
06-05-2020 00:00:00,06-05-2020,00:00:00,7811.0
06-05-2020 01:00:00,06-05-2020,01:00:00,6155.0
06-05-2020 02:00:00,06-05-2020,02:00:00,5473.0
06-05-2020 03:00:00,06-05-2020,03:00:00,5844.0
06-05-2020 04:00:00,06-05-2020,04:00:00,7828.0
06-05-2020 05:00:00,06-05-2020,05:00:00,11439.0
06-05-2020 06:00:00,06-05-2020,06:00:00,17220.0
06-05-2020 07:00:00,06-05-2020,07:00:00,23291.0
06-05-2020 08:00:00,06-05-2020,08:00:00,28357.0
06-05-2020 09:00:00,06-05-2020,09:00:00,30655.0
06-05-2020 10:00:00,06-05-2020,10:00:00,31267.0
06-05-2020 11:00:00,06-05-2020,11:00:00,30680.0
06-05-2020 12:00:00,06-05-2020,12:00:00,30073.0
06-05-2020 13:00:00,06-05-2020,13:00:00,29018.0
06-05-2020 14:00:00,06-05-2020,14:00:00,27829.0
06-05-2020 15:00:00,06-05-2020,15:00:00,25925.0
06-05-2020 16:00:00,06-05-2020,16:00:00,23873.0
06-05-2020 17:00:00,06-05-2020,17:00:00,21489.0
06-05-2020 18:00:00,06-05-2020,18:00:00,19116.0
06-05-2020 19:00:00,06-05-2020,19:00:00,17081.0
06-05-2020 20:00:00,06-05-2020,20:00:00,15409.0
06-05-2020 21:00:00,06-05-2020,21:00:00,13561.0
06-05-2020 22:00:00,06-05-2020,22:00:00,11234.0
06-05-2020 23:00:00,06-05-2020,23:00:00,8728.0
06-06-2020 00:00:00,06-06-2020,00:00:00,6720.0
06-06-2020 01:00:00,06-06-2020,01:00:00,5326.0
06-06-2020 02:00:00,06-06-2020,02:00:00,4626.0
06-06-2020 03:00:00,06-06-2020,03:00:00,4896.0
06-06-2020 04:00:00,06-06-2020,04:00:00,6337.0
06-06-2020 05:00:00,06-06-2020,05:00:00,8923.0
06-06-2020 06:00:00,06-06-2020,06:00:00,12282.0
06-06-2020 07:00:00,06-06-2020,07:00:00,15709.0
06-06-2020 08:00:00,06-06-2020,08:00:00,18064.0
06-06-2020 09:00:00,06-06-2020,09:00:00,19062.0
06-06-2020 10:00:00,06-06-2020,10:00:00,19457.0
06-06-2020 11:00:00,06-06-2020,11:00:00,19499.0
06-06-2020 12:00:00,06-06-2020,12:00:00,19406.0
06-06-2020 13:00:00,06-06-2020,13:00:00,18862.0
06-06-2020 14:00:00,06-06-2020,14:00:00,18192.0
06-06-2020 15:00:00,06-06-2020,15:00:00,17685.0
06-06-2020 16:00:00,06-06-2020,16:00:00,16429.0
06-06-2020 17:00:00,06-06-2020,17:00:00,15259.0
06-06-2020 18:00:00,06-06-2020,18:00:00,13852.0
06-06-2020 19:00:00,06-06-2020,19:00:00,13099.0
06-06-2020 20:00:00,06-06-2020,20:00:00,12389.0
06-06-2020 21:00:00,06-06-2020,21:00:00,11213.0
06-06-2020 22:00:00,06-06-2020,22:00:00,9674.0
06-06-2020 23:00:00,06-06-2020,23:00:00,8035.0
06-07-2020 00:00:00,06-07-2020,00:00:00,6584.0
